"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.argnum","Input.corpus_id","Input.hit_file_format_version","Input.predicate_lemma","Input.predicate_progressive","Input.predicate_token_id","Input.roleset","Input.sampling_method","Input.sentence_id","Input.sentences_and_args_as_json","Answer.awareness","Answer.awareness_grammatical","Answer.awareness_makes_sense","Answer.change_of_location","Answer.change_of_location_grammatical","Answer.change_of_location_makes_sense","Answer.change_of_possession","Answer.change_of_possession_grammatical","Answer.change_of_possession_makes_sense","Answer.change_of_state","Answer.change_of_state_grammatical","Answer.change_of_state_makes_sense","Answer.dynamic","Answer.dynamic_grammatical","Answer.dynamic_makes_sense","Answer.existed_after","Answer.existed_after_grammatical","Answer.existed_after_makes_sense","Answer.existed_before","Answer.existed_before_grammatical","Answer.existed_before_makes_sense","Answer.existed_during","Answer.existed_during_grammatical","Answer.existed_during_makes_sense","Answer.instigation","Answer.instigation_grammatical","Answer.instigation_makes_sense","Answer.partitive","Answer.partitive_grammatical","Answer.partitive_makes_sense","Answer.question_presentation_order","Answer.sentence_grammatical","Answer.sentient","Answer.sentient_grammatical","Answer.sentient_makes_sense","Answer.volition","Answer.volition_grammatical","Answer.volition_makes_sense","Answer.was_for_benefit","Answer.was_for_benefit_grammatical","Answer.was_for_benefit_makes_sense","Answer.was_used","Answer.was_used_grammatical","Answer.was_used_makes_sense","Turkle.Username"
"833287","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46543","129","Tue Oct 24 18:33:11 UTC 2023","Tue Oct 24 18:34:08 UTC 2023","57","The man","VQA","2.0.0","to be on the street","being on the street","(2, 5)","","it-happened","524314000","{""argument_phrase"": ""The man"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The man</span><span class=\\\""predicate\\\"">is on the street</span>""}","5","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","2","true","yes","volition existed_before existed_during existed_after dynamic change_of_location instigation was_used change_of_possession awareness was_for_benefit partitive change_of_state sentient","5","5","true","yes","4","true","yes","4","true","yes","3","true","yes","jgualla1"
"833288","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46544","129","Tue Oct 24 18:34:08 UTC 2023","Tue Oct 24 18:35:26 UTC 2023","78","The birds","VQA","2.0.0","to appear","appearing","(2, 7)","","it-happened","262260000","{""argument_phrase"": ""The birds"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The birds</span><span class=\\\""predicate\\\"">are appearing as black silhouettes</span>""}","2","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","3","true","yes","2","true","yes","awareness change_of_state was_used was_for_benefit existed_before existed_during existed_after change_of_location volition instigation change_of_possession sentient partitive dynamic","5","5","true","yes","2","true","yes","2","true","yes","4","true","yes","jgualla1"
"833289","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46545","129","Tue Oct 24 18:35:26 UTC 2023","Tue Oct 24 18:40:42 UTC 2023","316","clothes","VQA","2.0.0","to be on the bed","being on the bed","(1, 7)","","it-happened","131208000","{""argument_phrase"": ""clothes"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">clothes</span><span class=\\\""predicate\\\"">are on the bed</span>""}","1","true","yes","1","true","yes","3","true","yes","3","true","yes","1","true","yes","5","true","yes","5","true","yes","5","true","yes","1","true","yes","2","true","yes","change_of_state was_for_benefit partitive change_of_location awareness sentient existed_before existed_during existed_after was_used instigation change_of_possession dynamic volition","5","1","true","yes","1","true","yes","1","true","yes","1","true","yes","jgualla1"
"833290","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46546","129","Tue Oct 24 18:40:42 UTC 2023","Tue Oct 24 18:41:24 UTC 2023","42","The man","VQA","2.0.0","to cook","cooking","(2, 3)","","it-happened","524486002","{""argument_phrase"": ""The man"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The man</span><span class=\\\""predicate\\\"">is cooking</span>""}","5","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","5","true","yes","5","true","yes","2","true","yes","dynamic sentient partitive was_used change_of_location existed_before existed_during existed_after volition change_of_state was_for_benefit awareness change_of_possession instigation","5","5","true","yes","4","true","yes","4","true","yes","2","true","yes","jgualla1"
"833291","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46547","129","Tue Oct 24 18:41:24 UTC 2023","Tue Oct 24 18:42:25 UTC 2023","61","The girl","VQA","2.0.0","to hold an umbrella","holding an umbrella","(2, 5)","","it-happened","36002","{""argument_phrase"": ""The girl"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The girl</span><span class=\\\""predicate\\\"">is holding an umbrella</span>""}","5","true","yes","3","true","yes","3","true","yes","3","true","yes","4","true","yes","5","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","was_used change_of_possession dynamic volition existed_before existed_during existed_after sentient awareness partitive instigation change_of_state change_of_location was_for_benefit","5","5","true","yes","4","true","yes","5","true","yes","3","true","yes","jgualla1"
"833292","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46548","129","Tue Oct 24 18:42:25 UTC 2023","Tue Oct 24 18:44:19 UTC 2023","114","Someone","VQA","2.0.0","to not like","not liking","(1, 3)","","it-happened","39288002","{""argument_phrase"": ""Someone"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">Someone</span><span class=\\\""predicate\\\"">does not like</span>""}","5","true","yes","3","true","yes","3","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","5","true","yes","3","true","yes","change_of_location dynamic change_of_state existed_before existed_during existed_after change_of_possession was_for_benefit awareness was_used sentient volition instigation partitive","5","5","true","yes","5","true","yes","3","true","yes","3","true","yes","jgualla1"
"833293","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46549","129","Tue Oct 24 18:44:19 UTC 2023","Tue Oct 24 18:48:09 UTC 2023","230","top light","VQA","2.0.0","to be on","being on","(3, 4)","","it-happened","524520002","{""argument_phrase"": ""top light"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">top light</span><span class=\\\""predicate\\\"">is on</span>""}","1","true","yes","3","true","yes","3","true","yes","2","true","yes","1","true","yes","1","true","yes","1","true","yes","1","true","yes","1","true","yes","2","true","yes","awareness partitive change_of_state change_of_location instigation was_for_benefit volition change_of_possession sentient dynamic existed_before existed_during existed_after was_used","5","1","true","yes","1","true","yes","1","true","yes","3","true","no","jgualla1"
"833294","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46550","129","Tue Oct 24 18:48:09 UTC 2023","Tue Oct 24 18:48:40 UTC 2023","31","The man","VQA","2.0.0","to be in mid-air","being in mid-air","(2, 4)","","it-happened","524547000","{""argument_phrase"": ""The man"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The man</span><span class=\\\""predicate\\\"">is in mid-air</span>""}","5","true","yes","4","true","yes","3","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","5","true","yes","","true","","2","true","yes","was_used was_for_benefit sentient change_of_location awareness instigation volition existed_before existed_during existed_after partitive change_of_state change_of_possession dynamic","5","5","true","yes","5","true","yes","4","true","yes","4","true","yes","jgualla1"
"833295","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46551","129","Tue Oct 24 18:48:40 UTC 2023","Tue Oct 24 18:49:34 UTC 2023","54","The people","VQA","2.0.0","to be on the elephant","being on the elephant","(2, 5)","","it-happened","61001","{""argument_phrase"": ""The people"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">The people</span><span class=\\\""predicate\\\"">are on the elephants</span>""}","5","true","yes","4","true","yes","3","true","yes","3","true","yes","4","true","yes","5","true","yes","5","true","yes","5","true","yes","4","true","yes","2","true","yes","volition change_of_possession change_of_location partitive change_of_state awareness was_used existed_before existed_during existed_after instigation dynamic sentient was_for_benefit","5","5","true","yes","5","true","yes","4","true","yes","3","true","no","jgualla1"
"833296","1025","Why-question ambiguity - annotating UDS properties","Tue Oct 24 18:32:46 UTC 2023","1","86400","46552","129","Tue Oct 24 18:49:34 UTC 2023","Tue Oct 24 18:52:43 UTC 2023","189","Some of the leaves","VQA","2.0.0","to be brown","being brown","(4, 5)","","it-happened","524661005","{""argument_phrase"": ""Some of the leaves"", ""full_argument_label"": ""nsubj"", ""sentence"": ""<span class=\\\""argument\\\""class=\\\""nsubj\\\"">Some of the leaves</span><span class=\\\""predicate\\\"">are brown</span>""}","1","true","yes","3","true","yes","3","true","yes","2","true","yes","3","true","yes","5","true","yes","5","true","yes","5","true","yes","2","true","yes","3","true","yes","awareness instigation partitive change_of_location change_of_possession existed_before existed_during existed_after dynamic sentient was_for_benefit change_of_state was_used volition","5","1","true","yes","1","true","yes","1","true","yes","3","true","yes","jgualla1"
