hit_file_format_version,corpus_id,sentence_id,predicate_token_id,roleset,predicate_lemma,predicate_progressive,argnum,sentences_and_args_as_json,sampling_method
45-example-pilot,VQA,524314000,"(2, 5)",role,to be on the street,['being on the street'],0,The man is on the street,it-happened
45-example-pilot,VQA,262260000,"(2, 7)",role,to appear as black silhouettes,['appearing as black silhouettes'],0,The birds are only appearing as black silhouettes,it-happened
45-example-pilot,VQA,131208000,"(1, 7)",role,to be on the bed,['being on the bed'],0,There are so many clothes on the bed,it-happened
45-example-pilot,VQA,524486002,"(2, 3)",role,to cook,['cooking'],0,The man is cooking so many hot dogs,it-happened
45-example-pilot,VQA,36002,"(2, 5)",role,to hold an umbrella,['holding an umbrella'],0,The girl is holding an umbrella,it-happened
45-example-pilot,VQA,39288002,"(1, 3)",role,to not like,['not liking'],0,Someone does not like the fruit at the front,it-happened
45-example-pilot,VQA,524520002,"(3, 4)",role,to be on,['being on'],0,The top light is on,it-happened
45-example-pilot,VQA,524547000,"(2, 4)",role,to be in mid-air,['being in mid-air'],0,The man is in mid-air,it-happened
45-example-pilot,VQA,61001,"(2, 5)",role,to be on the elephants,['being on the elephants'],0,The people are on the elephants,it-happened
45-example-pilot,VQA,524661005,"(4, 5)",role,to be brown,['being brown'],0,Some of the leaves are brown,it-happened
45-example-pilot,VQA,157125001,"(2, 6)",role,to be on one's cell phone,"[""being on one's cell phone""]",0,These people are on their cell phones,it-happened
