HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username
0,1014,Purpose vs. Reason,Wed Jun 28 19:28:15 UTC 2023,1,86400,32450,52,Wed Jun 28 19:41:01 UTC 2023,Wed Jun 28 19:41:37 UTC 2023,36,"[[{""id"": ""g1.0"", ""content"": ""resting""}, {""id"": ""g1.1"", ""content"": ""sitting""}, {""id"": ""g1.2"", ""content"": ""begging""}, {""id"": ""g1.3"", ""content"": ""he is homeless""}, {""id"": ""g1.4"", ""content"": ""homeless""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524314.jpg""","""Why is the man on the street?""","[[],[{""id"":""g1.2"",""content"":""begging""},{""id"":""g1.0"",""content"":""resting""}],[{""id"":""g1.3"",""content"":""he is homeless""},{""id"":""g1.4"",""content"":""homeless""},{""id"":""g1.1"",""content"":""sitting""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",esteng
0,1014,Purpose vs. Reason,Tue Jun 20 13:17:30 UTC 2023,1,86400,31984,129,Tue Jun 20 13:17:48 UTC 2023,Tue Jun 20 13:18:43 UTC 2023,55,"[[{""id"": ""g1.0"", ""content"": ""resting""}, {""id"": ""g1.1"", ""content"": ""sitting""}, {""id"": ""g1.2"", ""content"": ""begging""}, {""id"": ""g1.3"", ""content"": ""he is homeless""}, {""id"": ""g1.4"", ""content"": ""homeless""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524314.jpg""","""Why is the man on the street?""","[[],[{""id"":""g1.0"",""content"":""resting""},{""id"":""g1.1"",""content"":""sitting""},{""id"":""g1.2"",""content"":""begging""}],[{""id"":""g1.4"",""content"":""homeless""},{""id"":""g1.3"",""content"":""he is homeless""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",jgualla1
1,1014,Purpose vs. Reason,Wed Jun 28 19:28:15 UTC 2023,1,86400,32451,52,Wed Jun 28 19:41:37 UTC 2023,Wed Jun 28 19:42:03 UTC 2023,26,"[[{""id"": ""g1.0"", ""content"": ""bad light""}, {""id"": ""g1.1"", ""content"": ""direction of sunlight""}, {""id"": ""g1.2"", ""content"": ""position of sun""}, {""id"": ""g1.3"", ""content"": ""glare""}, {""id"": ""g1.4"", ""content"": ""low light""}, {""id"": ""g1.5"", ""content"": ""sunset""}, {""id"": ""g1.6"", ""content"": ""sun""}, {""id"": ""g1.7"", ""content"": ""lighting""}, {""id"": ""g1.8"", ""content"": ""backlighting""}, {""id"": ""g1.9"", ""content"": ""shadows""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262260.jpg""","""Why are the birds only appearing as black silhouettes?""","[[],[],[{""id"":""g1.9"",""content"":""shadows""},{""id"":""g1.8"",""content"":""backlighting""},{""id"":""g1.7"",""content"":""lighting""},{""id"":""g1.6"",""content"":""sun""},{""id"":""g1.5"",""content"":""sunset""},{""id"":""g1.0"",""content"":""bad light""},{""id"":""g1.4"",""content"":""low light""},{""id"":""g1.3"",""content"":""glare""},{""id"":""g1.2"",""content"":""position of sun""},{""id"":""g1.1"",""content"":""direction of sunlight""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",esteng
1,1014,Purpose vs. Reason,Tue Jun 20 13:17:30 UTC 2023,1,86400,31985,129,Tue Jun 20 13:18:43 UTC 2023,Tue Jun 20 13:19:14 UTC 2023,31,"[[{""id"": ""g1.0"", ""content"": ""bad light""}, {""id"": ""g1.1"", ""content"": ""direction of sunlight""}, {""id"": ""g1.2"", ""content"": ""position of sun""}, {""id"": ""g1.3"", ""content"": ""glare""}, {""id"": ""g1.4"", ""content"": ""low light""}, {""id"": ""g1.5"", ""content"": ""sunset""}, {""id"": ""g1.6"", ""content"": ""sun""}, {""id"": ""g1.7"", ""content"": ""lighting""}, {""id"": ""g1.8"", ""content"": ""backlighting""}, {""id"": ""g1.9"", ""content"": ""shadows""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262260.jpg""","""Why are the birds only appearing as black silhouettes?""","[[],[],[{""id"":""g1.9"",""content"":""shadows""},{""id"":""g1.7"",""content"":""lighting""},{""id"":""g1.8"",""content"":""backlighting""},{""id"":""g1.6"",""content"":""sun""},{""id"":""g1.5"",""content"":""sunset""},{""id"":""g1.4"",""content"":""low light""},{""id"":""g1.3"",""content"":""glare""},{""id"":""g1.2"",""content"":""position of sun""},{""id"":""g1.1"",""content"":""direction of sunlight""},{""id"":""g1.0"",""content"":""bad light""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",jgualla1
2,1014,Purpose vs. Reason,Wed Jun 28 19:28:15 UTC 2023,1,86400,32452,52,Wed Jun 28 19:42:03 UTC 2023,Wed Jun 28 19:42:30 UTC 2023,27,"[[{""id"": ""g1.0"", ""content"": ""lack of storage""}, {""id"": ""g1.1"", ""content"": ""haven't put away yet""}, {""id"": ""g1.2"", ""content"": ""yes""}, {""id"": ""g1.3"", ""content"": ""she's messy""}, {""id"": ""g1.4"", ""content"": ""messy""}, {""id"": ""g1.5"", ""content"": ""bed isn't made""}, {""id"": ""g1.6"", ""content"": ""she just did laundry""}, {""id"": ""g1.7"", ""content"": ""she does not want to put them away""}, {""id"": ""g1.8"", ""content"": ""it's hot""}, {""id"": ""g1.9"", ""content"": ""laundry""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000131208.jpg""","""Why are there so many clothes on the bed?""","[[],[],[{""id"":""g1.9"",""content"":""laundry""},{""id"":""g1.8"",""content"":""it's hot""},{""id"":""g1.7"",""content"":""she does not want to put them away""},{""id"":""g1.6"",""content"":""she just did laundry""},{""id"":""g1.5"",""content"":""bed isn't made""},{""id"":""g1.4"",""content"":""messy""},{""id"":""g1.3"",""content"":""she's messy""},{""id"":""g1.1"",""content"":""haven't put away yet""},{""id"":""g1.0"",""content"":""lack of storage""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",esteng
2,1014,Purpose vs. Reason,Tue Jun 20 13:17:30 UTC 2023,1,86400,31986,129,Tue Jun 20 13:19:14 UTC 2023,Tue Jun 20 13:20:11 UTC 2023,57,"[[{""id"": ""g1.0"", ""content"": ""lack of storage""}, {""id"": ""g1.1"", ""content"": ""haven't put away yet""}, {""id"": ""g1.2"", ""content"": ""yes""}, {""id"": ""g1.3"", ""content"": ""she's messy""}, {""id"": ""g1.4"", ""content"": ""messy""}, {""id"": ""g1.5"", ""content"": ""bed isn't made""}, {""id"": ""g1.6"", ""content"": ""she just did laundry""}, {""id"": ""g1.7"", ""content"": ""she does not want to put them away""}, {""id"": ""g1.8"", ""content"": ""it's hot""}, {""id"": ""g1.9"", ""content"": ""laundry""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000131208.jpg""","""Why are there so many clothes on the bed?""","[[],[],[{""id"":""g1.7"",""content"":""she does not want to put them away""},{""id"":""g1.9"",""content"":""laundry""},{""id"":""g1.8"",""content"":""it's hot""},{""id"":""g1.6"",""content"":""she just did laundry""},{""id"":""g1.5"",""content"":""bed isn't made""},{""id"":""g1.4"",""content"":""messy""},{""id"":""g1.3"",""content"":""she's messy""},{""id"":""g1.1"",""content"":""haven't put away yet""},{""id"":""g1.0"",""content"":""lack of storage""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",jgualla1
3,1014,Purpose vs. Reason,Wed Jun 28 19:28:15 UTC 2023,1,86400,32453,52,Wed Jun 28 19:42:30 UTC 2023,Wed Jun 28 19:43:18 UTC 2023,48,"[[{""id"": ""g1.0"", ""content"": ""barbecue""}, {""id"": ""g1.1"", ""content"": ""for festival""}, {""id"": ""g1.2"", ""content"": ""for sale""}, {""id"": ""g1.3"", ""content"": ""barbeque for friends or family""}, {""id"": ""g1.4"", ""content"": ""cookout""}, {""id"": ""g1.5"", ""content"": ""to eat""}, {""id"": ""g1.6"", ""content"": ""fundraiser""}, {""id"": ""g1.7"", ""content"": ""to feed people""}, {""id"": ""g1.8"", ""content"": ""party""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524486.jpg""","""Why is the man cooking so many hot dogs?""","[[],[{""id"":""g1.5"",""content"":""to eat""},{""id"":""g1.2"",""content"":""for sale""},{""id"":""g1.7"",""content"":""to feed people""},{""id"":""g1.1"",""content"":""for festival""}],[{""id"":""g1.8"",""content"":""party""},{""id"":""g1.6"",""content"":""fundraiser""},{""id"":""g1.4"",""content"":""cookout""},{""id"":""g1.0"",""content"":""barbecue""},{""id"":""g1.3"",""content"":""barbeque for friends or family""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",esteng
3,1014,Purpose vs. Reason,Tue Jun 20 13:17:30 UTC 2023,1,86400,31987,129,Tue Jun 20 13:20:11 UTC 2023,Tue Jun 20 13:20:34 UTC 2023,23,"[[{""id"": ""g1.0"", ""content"": ""barbecue""}, {""id"": ""g1.1"", ""content"": ""for festival""}, {""id"": ""g1.2"", ""content"": ""for sale""}, {""id"": ""g1.3"", ""content"": ""barbeque for friends or family""}, {""id"": ""g1.4"", ""content"": ""cookout""}, {""id"": ""g1.5"", ""content"": ""to eat""}, {""id"": ""g1.6"", ""content"": ""fundraiser""}, {""id"": ""g1.7"", ""content"": ""to feed people""}, {""id"": ""g1.8"", ""content"": ""party""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524486.jpg""","""Why is the man cooking so many hot dogs?""","[[],[{""id"":""g1.2"",""content"":""for sale""},{""id"":""g1.5"",""content"":""to eat""},{""id"":""g1.7"",""content"":""to feed people""},{""id"":""g1.1"",""content"":""for festival""}],[{""id"":""g1.4"",""content"":""cookout""},{""id"":""g1.0"",""content"":""barbecue""},{""id"":""g1.6"",""content"":""fundraiser""},{""id"":""g1.8"",""content"":""party""},{""id"":""g1.3"",""content"":""barbeque for friends or family""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",jgualla1
4,1014,Purpose vs. Reason,Wed Jun 28 19:28:15 UTC 2023,1,86400,32454,52,Wed Jun 28 19:43:18 UTC 2023,Wed Jun 28 19:43:56 UTC 2023,38,"[[{""id"": ""g1.0"", ""content"": ""keep sun off""}, {""id"": ""g1.1"", ""content"": ""it's sunny""}, {""id"": ""g1.2"", ""content"": ""protection from sun""}, {""id"": ""g1.3"", ""content"": ""sun protection""}, {""id"": ""g1.4"", ""content"": ""sunscreen""}, {""id"": ""g1.5"", ""content"": ""sun""}, {""id"": ""g1.6"", ""content"": ""its' sunny""}, {""id"": ""g1.7"", ""content"": ""block sun""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000036.jpg""","""Why is the girl holding an umbrella?""","[[],[{""id"":""g1.7"",""content"":""block sun""},{""id"":""g1.4"",""content"":""sunscreen""},{""id"":""g1.2"",""content"":""protection from sun""},{""id"":""g1.3"",""content"":""sun protection""},{""id"":""g1.0"",""content"":""keep sun off""}],[{""id"":""g1.6"",""content"":""its' sunny""},{""id"":""g1.5"",""content"":""sun""},{""id"":""g1.1"",""content"":""it's sunny""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",esteng
4,1014,Purpose vs. Reason,Tue Jun 20 13:17:30 UTC 2023,1,86400,31988,129,Tue Jun 20 13:20:34 UTC 2023,Tue Jun 20 13:21:07 UTC 2023,33,"[[{""id"": ""g1.0"", ""content"": ""keep sun off""}, {""id"": ""g1.1"", ""content"": ""it's sunny""}, {""id"": ""g1.2"", ""content"": ""protection from sun""}, {""id"": ""g1.3"", ""content"": ""sun protection""}, {""id"": ""g1.4"", ""content"": ""sunscreen""}, {""id"": ""g1.5"", ""content"": ""sun""}, {""id"": ""g1.6"", ""content"": ""its' sunny""}, {""id"": ""g1.7"", ""content"": ""block sun""}], [], []]","[""both"", ""purpose"", ""reason""]","""https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000036.jpg""","""Why is the girl holding an umbrella?""","[[],[{""id"":""g1.3"",""content"":""sun protection""},{""id"":""g1.2"",""content"":""protection from sun""},{""id"":""g1.4"",""content"":""sunscreen""},{""id"":""g1.7"",""content"":""block sun""},{""id"":""g1.0"",""content"":""keep sun off""}],[{""id"":""g1.5"",""content"":""sun""},{""id"":""g1.6"",""content"":""its' sunny""},{""id"":""g1.1"",""content"":""it's sunny""}]]","[""both"",""purpose"",""reason""]",FALSE,,"""All answer the same question""",jgualla1
