hit_file_format_version,corpus_id,video_id,predicate_token_id,roleset,predicate_lemma,predicate_progressive,argnum,sentences_and_args_as_json,sampling_method
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524314.jpg,"(2, 5)",,to be on the street,being on the street,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is on the street</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000262260.jpg,"(2, 7)",,to appear,appearing,The birds,"{'argument_phrase': 'The birds', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The birds</span><span class=\\\\\\""predicate\\\\\\"">are only appearing as black silhouettes</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000131208.jpg,"(1, 7)",,to be on the bed,being on the bed,clothes on the bed,"{'argument_phrase': 'clothes on the bed', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">clothes on the bed</span><span class=\\\\\\""predicate\\\\\\"">are on the bed</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524486.jpg,"(2, 3)",,to cook,cooking,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is cooking</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000036.jpg,"(2, 5)",,to hold,holding,The girl,"{'argument_phrase': 'The girl', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The girl</span><span class=\\\\\\""predicate\\\\\\"">is holding an umbrella</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000039288.jpg,"(1, 8)",,to like,liking,Someone,"{'argument_phrase': 'Someone', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Someone</span><span class=\\\\\\""predicate\\\\\\"">would not like the fruit at the front</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524520.jpg,"(3, 4)",,to be on,the phone The present progressive form of the sentence is being on the phone,The top light,"{'argument_phrase': 'The top light', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The top light</span><span class=\\\\\\""predicate\\\\\\"">is on</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524547.jpg,"(2, 4)",,to be in mid-air,being in mid-air,The man,"{'argument_phrase': 'The man', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The man</span><span class=\\\\\\""predicate\\\\\\"">is in mid-air</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000000061.jpg,"(2, 5)",,to be on,being on,The people,"{'argument_phrase': 'The people', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">The people</span><span class=\\\\\\""predicate\\\\\\"">are on the elephants</span>'}",it-happened
2.0.0,VQA,https://ugrad.cs.jhu.edu/~jgualla1/COCO_train2014_000000524661.jpg,"(4, 5)",,to be brown,being brown,Some of the leaves,"{'argument_phrase': 'Some of the leaves', 'full_argument_label': 'nsubj', 'sentence': '<span class=\\\\\\""argument\\\\\\""class=\\\\\\""nsubj\\\\\\"">Some of the leaves</span><span class=\\\\\\""predicate\\\\\\"">are brown</span>'}",it-happened
